"Date","Price","Open","High","Low","Change %"
"Jan 19, 2021","10.1789","10.1651","10.2006","10.0891","0.21%"
"Jan 18, 2021","10.1572","10.1619","10.2341","10.1144","0.04%"
"Jan 15, 2021","10.1532","10.0906","10.2268","10.0462","0.65%"
"Jan 14, 2021","10.0872","10.1024","10.1792","10.0266","0.05%"
"Jan 13, 2021","10.0824","10.1848","10.2289","10.0718","-0.95%"
"Jan 12, 2021","10.1787","10.1070","10.2295","10.0608","0.77%"
"Jan 11, 2021","10.1009","10.0073","10.1477","9.9416","1.03%"
"Jan 08, 2021","9.9977","9.9297","10.0744","9.9143","0.77%"
"Jan 07, 2021","9.9212","9.9430","10.0307","9.8391","-0.18%"
"Jan 06, 2021","9.9395","10.0708","10.0871","9.8524","-1.20%"
"Jan 05, 2021","10.0607","10.0770","10.1074","10.0070","-0.07%"
"Jan 04, 2021","10.0679","10.1657","10.1821","10.0230","-0.98%"
"Jan 01, 2021","10.1673","10.1683","10.1791","10.1673","0.05%"
"Dec 31, 2020","10.1618","10.0576","10.2416","10.0159","1.12%"
"Dec 30, 2020","10.0495","9.9728","10.0696","9.8882","0.85%"
"Dec 29, 2020","9.9650","10.0157","10.0858","9.9008","-0.47%"
"Dec 28, 2020","10.0122","10.2374","10.2821","9.9476","-2.08%"
"Dec 25, 2020","10.2247","10.2716","10.3217","10.2050","-0.37%"
"Dec 24, 2020","10.2630","10.3120","10.4273","10.2323","-0.38%"
"Dec 23, 2020","10.3026","10.2383","10.3675","10.2244","0.71%"
"Dec 22, 2020","10.2298","10.3062","10.3177","10.1638","-0.66%"
"Dec 21, 2020","10.2980","10.2800","10.3205","10.0969","-0.09%"
"Dec 18, 2020","10.3075","10.4628","10.5133","10.2687","-1.39%"
"Dec 17, 2020","10.4526","10.5358","10.5850","10.4377","-0.73%"
"Dec 16, 2020","10.5294","10.5455","10.6002","10.4565","-0.10%"
"Dec 15, 2020","10.5400","10.4629","10.5577","10.4021","0.81%"
"Dec 14, 2020","10.4555","10.4404","10.6319","10.4325","0.65%"
"Dec 11, 2020","10.3883","10.4881","10.6055","10.3238","-0.91%"
"Dec 10, 2020","10.4834","10.4901","10.5328","10.4180","0.13%"
"Dec 09, 2020","10.4698","10.4376","10.5634","10.4297","0.45%"
"Dec 08, 2020","10.4227","10.4360","10.5008","10.3926","-0.07%"
"Dec 07, 2020","10.4297","10.4909","10.5330","10.3645","-0.46%"
"Dec 04, 2020","10.4783","10.4542","10.5642","10.4242","0.35%"
"Dec 03, 2020","10.4413","10.4914","10.6222","10.4330","-0.47%"
"Dec 02, 2020","10.4902","10.5037","10.5342","10.3941","-0.06%"
